model,store,MAE,RMSE,MAPE
Naive,Astoria,254.31300000000005,324.7575165617162,13.238185044883217
Naive,Hell's Kitchen,539.166,612.4662340080472,26.684787216620965
Naive,Lower Manhattan,257.313,324.79186038138334,13.48316873242226
Moving Average 7d,Astoria,253.5442380952379,324.0275746123832,13.203600671431643
Moving Average 7d,Hell's Kitchen,485.85266666666666,563.2747612904403,23.893175728888348
Moving Average 7d,Lower Manhattan,228.93385714285708,286.68746729901966,12.577831151226404
Prophet,Astoria,249.12056097145555,304.88305493877067,14.274555898948643
Prophet,Hell's Kitchen,268.6112254030092,327.75154097417703,14.347860831037359
Prophet,Lower Manhattan,226.80646844677779,295.2857154202531,13.570449389804082
XGBoost,Astoria,319.1372924804688,397.41413512731344,16.44681657607798
XGBoost,Hell's Kitchen,398.1766844075521,499.5999986187837,19.202642796017475
XGBoost,Lower Manhattan,273.2876500651042,330.9847603960704,14.289595232093733
